Категория: Все категории

Неделя,ford: (По всему миру)
2014-03-30,73
2014-04-06,73
2014-04-13,72
2014-04-20,76
2014-04-27,75
2014-05-04,70
2014-05-11,70
2014-05-18,71
2014-05-25,70
2014-06-01,69
2014-06-08,69
2014-06-15,68
2014-06-22,71
2014-06-29,72
2014-07-06,74
2014-07-13,74
2014-07-20,75
2014-07-27,77
2014-08-03,74
2014-08-10,74
2014-08-17,77
2014-08-24,73
2014-08-31,69
2014-09-07,76
2014-09-14,71
2014-09-21,71
2014-09-28,70
2014-10-05,69
2014-10-12,70
2014-10-19,72
2014-10-26,72
2014-11-02,72
2014-11-09,72
2014-11-16,73
2014-11-23,69
2014-11-30,68
2014-12-07,70
2014-12-14,68
2014-12-21,65
2014-12-28,72
2015-01-04,72
2015-01-11,80
2015-01-18,75
2015-01-25,74
2015-02-01,74
2015-02-08,77
2015-02-15,76
2015-02-22,74
2015-03-01,100
2015-03-08,80
2015-03-15,76
2015-03-22,76
2015-03-29,75
2015-04-05,73
2015-04-12,75
2015-04-19,76
2015-04-26,72
2015-05-03,75
2015-05-10,74
2015-05-17,75
2015-05-24,75
2015-05-31,72
2015-06-07,74
2015-06-14,74
2015-06-21,76
2015-06-28,75
2015-07-05,75
2015-07-12,77
2015-07-19,78
2015-07-26,79
2015-08-02,77
2015-08-09,80
2015-08-16,78
2015-08-23,78
2015-08-30,75
2015-09-06,75
2015-09-13,75
2015-09-20,76
2015-09-27,74
2015-10-04,74
2015-10-11,75
2015-10-18,75
2015-10-25,74
2015-11-01,76
2015-11-08,73
2015-11-15,71
2015-11-22,72
2015-11-29,72
2015-12-06,71
2015-12-13,76
2015-12-20,76
2015-12-27,80
2016-01-03,75
2016-01-10,77
2016-01-17,76
2016-01-24,80
2016-01-31,77
2016-02-07,76
2016-02-14,77
2016-02-21,80
2016-02-28,77
2016-03-06,76
2016-03-13,78
2016-03-20,83
2016-03-27,79
2016-04-03,76
2016-04-10,76
2016-04-17,75
2016-04-24,75
2016-05-01,72
2016-05-08,74
2016-05-15,74
2016-05-22,71
2016-05-29,72
2016-06-05,71
2016-06-12,73
2016-06-19,75
2016-06-26,74
2016-07-03,73
2016-07-10,74
2016-07-17,76
2016-07-24,78
2016-07-31,75
2016-08-07,74
2016-08-14,74
2016-08-21,74
2016-08-28,74
2016-09-04,75
2016-09-11,75
2016-09-18,75
2016-09-25,74
2016-10-02,75
2016-10-09,83
2016-10-16,74
2016-10-23,73
2016-10-30,73
2016-11-06,70
2016-11-13,77
2016-11-20,71
2016-11-27,73
2016-12-04,70
2016-12-11,70
2016-12-18,71
2016-12-25,78
2017-01-01,77
2017-01-08,77
2017-01-15,79
2017-01-22,77
2017-01-29,74
2017-02-05,75
2017-02-12,76
2017-02-19,80
2017-02-26,76
2017-03-05,77
2017-03-12,75
2017-03-19,77
2017-03-26,77
2017-04-02,74
2017-04-09,72
2017-04-16,73
2017-04-23,74
2017-04-30,73
2017-05-07,75
2017-05-14,73
2017-05-21,73
2017-05-28,74
2017-06-04,73
2017-06-11,74
2017-06-18,76
2017-06-25,76
2017-07-02,74
2017-07-09,77
2017-07-16,79
2017-07-23,83
2017-07-30,77
2017-08-06,78
2017-08-13,75
2017-08-20,77
2017-08-27,75
2017-09-03,72
2017-09-10,74
2017-09-17,73
2017-09-24,76
2017-10-01,77
2017-10-08,76
2017-10-15,77
2017-10-22,75
2017-10-29,74
2017-11-05,75
2017-11-12,76
2017-11-19,72
2017-11-26,70
2017-12-03,73
2017-12-10,69
2017-12-17,70
2017-12-24,73
2017-12-31,73
2018-01-07,75
2018-01-14,77
2018-01-21,74
2018-01-28,75
2018-02-04,76
2018-02-11,76
2018-02-18,76
2018-02-25,75
2018-03-04,76
2018-03-11,77
2018-03-18,76
2018-03-25,80
2018-04-01,76
2018-04-08,75
2018-04-15,75
2018-04-22,80
2018-04-29,74
2018-05-06,76
2018-05-13,77
2018-05-20,74
2018-05-27,72
2018-06-03,75
2018-06-10,72
2018-06-17,70
2018-06-24,73
2018-07-01,71
2018-07-08,75
2018-07-15,76
2018-07-22,79
2018-07-29,78
2018-08-05,75
2018-08-12,77
2018-08-19,77
2018-08-26,76
2018-09-02,74
2018-09-09,73
2018-09-16,86
2018-09-23,100
2018-09-30,86
2018-10-07,78
2018-10-14,73
2018-10-21,72
2018-10-28,71
2018-11-04,74
2018-11-11,71
2018-11-18,70
2018-11-25,71
2018-12-02,69
2018-12-09,70
2018-12-16,70
2018-12-23,70
2018-12-30,72
2019-01-06,75
2019-01-13,77
2019-01-20,76
2019-01-27,76
2019-02-03,75
2019-02-10,76
2019-02-17,80
2019-02-24,76
2019-03-03,75
2019-03-10,75
2019-03-17,78
2019-03-24,79
